time,mass,radius,x,y,z,x-velocity,y-velocity,z-velocity,x-acceleration,y-acceleration,z-acceleration,x-force,y-force,z-force
253912,7.349999999999999e+22,1700000.0,269295485.2757594,240029857.31088117,0.0,-705.1635720954476,765.5293498382246,0.0,-0.00226581769114994,-0.002053047564474385,0.0,-1.665376002995206e+20,-1.508989959888673e+20,0.0
257512,7.349999999999999e+22,1700000.0,266742267.85182348,242772414.66725215,0.0,-713.282308565185,758.0950979607659,0.0,-0.002244560858754018,-0.0020770439572997124,0.0,-1.649752231184203e+20,-1.5266273086152884e+20,0.0
261112,7.349999999999999e+22,1700000.0,264159961.19293818,245488053.76268983,0.0,-721.324063312678,750.5748397346948,0.0,-0.002223050528450184,-0.002100828542269142,0.0,-1.633942138410885e+20,-1.544108978567819e+20,0.0
264712,7.349999999999999e+22,1700000.0,261548844.07089576,248176466.35184664,0.0,-729.2879272192121,742.9693424651663,0.0,-0.0022012886336092038,-0.002124398658199137,0.0,-1.6179471457027647e+20,-1.5614330137763656e+20,0.0
268312,7.349999999999999e+22,1700000.0,258909198.51773402,250837346.96887988,0.0,-737.1729981757054,735.2793830129144,0.0,-0.002179277135082935,-0.002147751657656547,0.0,-1.6017686942859572e+20,-1.5785974683775618e+20,0.0
271912,7.349999999999999e+22,1700000.0,256241309.80032802,253470392.96176106,0.0,-744.9783811816238,727.5057477442652,0.0,-0.00215701802119817,-0.002170884907228839,0.0,-1.585408245580655e+20,-1.5956004068131966e+20,0.0
275512,7.349999999999999e+22,1700000.0,253545466.39461648,256075304.52640328,0.0,-752.7031884438843,719.6492324801635,0.0,-0.0021345133077482663,-0.002193795787797152,0.0,-1.5688672811949756e+20,-1.6124399040309064e+20,0.0
279112,7.349999999999999e+22,1700000.0,250821959.9594795,258651784.74060786,0.0,-760.3465394757068,711.710642444236,0.0,-0.0021117650379823575,-0.002216481694811923,0.0,-1.5521473029170325e+20,-1.6291140456867634e+20,0.0
282712,7.349999999999999e+22,1700000.0,248071085.3102555,261199539.5978169,0.0,-767.9075611954406,703.6907922098202,0.0,-0.002088775282592271,-0.002238940038571315,0.0,-1.535249832705319e+20,-1.6456209283499164e+20,0.0
286312,7.349999999999999e+22,1700000.0,245293140.39190844,263718278.04067484,0.0,-775.3853880253239,695.5905056460264,0.0,-0.0020655461396968935,-0.0022611682445022236,0.0,-1.5181764126772167e+20,-1.661958659709134e+20,0.0
289912,7.349999999999999e+22,1700000.0,242488426.2518355,266207711.99439877,0.0,-782.7791619901949,687.4106158627502,0.0,-0.002042079734823941,-0.002283163753443997,0.0,-1.5009286050955965e+20,-1.6781253587813374e+20,0.0
293512,7.349999999999999e+22,1700000.0,239657247.0123184,268667556.3999381,0.0,-790.0880328161238,679.1519651546806,0.0,-0.0020183782208892166,-0.0023049240219348804,0.0,-1.483507992353574e+20,-1.694119156122137e+20,0.0
297112,7.349999999999999e+22,1700000.0,236799909.8426224,271097529.24694306,0.0,-797.3111580289652,670.8154049442575,0.0,-0.0019944437781729677,-0.00232644652250102,0.0,-1.4659161769571312e+20,-1.7099381940382496e+20,0.0
300712,7.349999999999999e+22,1700000.0,233916724.9307422,273497351.6065193,0.0,-804.4477030528318,662.4017957236026,0.0,-0.001970278614293519,-0.002347728743948099,0.0,-1.4481547815057362e+20,-1.7255806268018527e+20,0.0
304312,7.349999999999999e+22,1700000.0,231008005.4547873,275866747.6637686,0.0,-811.4968413084465,653.9120069953683,0.0,-0.001945884964178045,-0.0023687681916556907,0.0,-1.430225448670863e+20,-1.7410446208669326e+20,0.0
307912,7.349999999999999e+22,1700000.0,228074067.5540203,278205444.7501284,0.0,-818.4577543114152,645.3469172125539,0.0,-0.0019212650900301974,-0.0023895623878740445,0.0,-1.412129841172195e+20,-1.7563283550874226e+20,0.0
311512,7.349999999999999e+22,1700000.0,225115230.2995368,280513173.3754718,0.0,-825.3296317703473,636.7074137172214,0.0,-0.0018964212812949105,-0.00241010887202362,0.0,-1.3938696417517591e+20,-1.7714300209373607e+20,0.0
315112,7.349999999999999e+22,1700000.0,222131815.66459653,282789667.2600027,0.0,-832.1116716848524,627.9943926781394,0.0,-0.001871355854619852,-0.002430405200997021,0.0,-1.375446553145591e+20,-1.7863478227328103e+20,0.0
318712,7.349999999999999e+22,1700000.0,219124148.49459794,285034663.3659154,0.0,-838.803080443404,619.2087590273453,0.0,-0.001846071153813749,-0.0024504489494635512,0.0,-1.3568622980531054e+20,-1.80107997785571e+20,0.0
